produto_id;sku;produto_nome;categoria;marca;preco_unitario;custo_unitario;estoque_inicial;unidade_medida;peso_kg;dimensao_cm
240;SKU00240;Motor Pirelli Nostrum;Motor;Pirelli;801.39;397.03;57;unidade;12.37;83x65x48
241;SKU00241;Acessórios Honda Assumenda;Acessórios;Honda;1771.79;1073.0;148;unidade;9.82;89x66x34
242;SKU00242;Elétrica Bosch Quia;Elétrica;Bosch;2392.8;1406.72;141;unidade;10.34;50x91x50
243;SKU00243;Transmissão Shineray Voluptate;Transmissão;Shineray;1534.94;779.26;68;unidade;8.44;43x33x20
244;SKU00244;Transmissão Shineray Quia;Transmissão;Shineray;1769.63;1162.77;130;unidade;9.58;49x76x47
245;SKU00245;Suspensão Shineray Repellat;Suspensão;Shineray;326.64;213.29;102;unidade;26.88;55x49x50
246;SKU00246;Transmissão Suzuki Quaerat;Transmissão;Suzuki;743.87;398.93;25;unidade;10.46;61x88x17
247;SKU00247;Acessórios Pirelli Saepe;Acessórios;Pirelli;554.62;387.34;74;unidade;28.0;94x39x9
248;SKU00248;Motor Cofap Beatae;Motor;Cofap;1858.71;969.85;17;unidade;20.13;72x33x41
249;SKU00249;Freios Honda Recusandae;Freios;Honda;272.99;149.9;125;unidade;3.11;22x5x36
250;SKU00250;Freios NGK Suscipit;Freios;NGK;1640.91;1171.93;126;unidade;14.38;30x41x21
251;SKU00251;Suspensão Honda Quo;Suspensão;Honda;2272.14;1083.44;64;unidade;16.1;97x9x12
252;SKU00252;Elétrica Suzuki Corrupti;Elétrica;Suzuki;2336.46;1076.88;106;unidade;23.66;28x100x19
253;SKU00253;Motor Honda Adipisci;Motor;Honda;763.52;481.66;90;unidade;8.61;87x74x34
254;SKU00254;Elétrica Suzuki Neque;Elétrica;Suzuki;2131.37;1258.37;54;unidade;24.28;47x25x47
255;SKU00255;Elétrica Shineray Assumenda;Elétrica;Shineray;1803.53;819.21;91;unidade;23.74;77x91x49
256;SKU00256;Freios Suzuki Hic;Freios;Suzuki;1537.11;986.24;108;unidade;24.83;70x46x6
257;SKU00257;Elétrica Yamaha Nam;Elétrica;Yamaha;482.33;237.39;87;unidade;28.08;5x38x25
258;SKU00258;Freios Pirelli Ducimus;Freios;Pirelli;1890.55;1391.84;82;unidade;17.52;78x6x17
259;SKU00259;Acessórios Bosch Dolor;Acessórios;Bosch;1739.6;815.24;35;unidade;14.02;25x56x44
260;SKU00260;Pneus Shineray Sunt;Pneus;Shineray;1733.47;1112.22;80;unidade;11.09;33x33x9
261;SKU00261;Elétrica Suzuki Illo;Elétrica;Suzuki;1151.07;859.45;100;unidade;12.53;75x65x49
262;SKU00262;Pneus Kawasaki Laborum;Pneus;Kawasaki;1910.6;1249.73;25;unidade;15.81;72x95x24
263;SKU00263;Motor Cofap Voluptatum;Motor;Cofap;302.72;211.49;134;unidade;6.14;73x24x11
264;SKU00264;Suspensão Magneti Marelli Laborum;Suspensão;Magneti Marelli;1118.56;731.64;130;unidade;2.82;70x62x4
265;SKU00265;Elétrica Suzuki Labore;Elétrica;Suzuki;1295.29;760.39;19;unidade;16.81;91x44x47
266;SKU00266;Motor NGK Voluptates;Motor;NGK;654.78;295.24;60;unidade;17.39;10x59x23
267;SKU00267;Acessórios Yamaha Perspiciatis;Acessórios;Yamaha;1364.38;638.63;22;unidade;29.59;65x9x19
268;SKU00268;Elétrica Suzuki Iure;Elétrica;Suzuki;1928.21;1310.7;112;unidade;11.3;53x62x25
269;SKU00269;Elétrica Yamaha Aspernatur;Elétrica;Yamaha;1714.76;1112.09;143;unidade;4.08;49x20x12
270;SKU00270;Pneus NGK Ducimus;Pneus;NGK;1333.89;891.52;62;unidade;25.06;7x43x30
271;SKU00271;Acessórios Magneti Marelli Voluptatibus;Acessórios;Magneti Marelli;1074.72;605.91;63;unidade;7.5;49x24x18
272;SKU00272;Freios Yamaha Recusandae;Freios;Yamaha;104.74;67.88;9;unidade;7.3;13x17x39
273;SKU00273;Motor Pirelli Corporis;Motor;Pirelli;1504.52;994.47;17;unidade;7.42;10x56x29
274;SKU00274;Freios Magneti Marelli Sint;Freios;Magneti Marelli;562.74;399.05;19;unidade;4.29;42x34x47
275;SKU00275;Pneus Bosch Nobis;Pneus;Bosch;1454.25;991.45;87;unidade;7.18;23x89x34
276;SKU00276;Freios NGK Similique;Freios;NGK;768.74;359.99;49;unidade;18.82;59x76x32
277;SKU00277;Motor Bosch Nesciunt;Motor;Bosch;2355.43;1534.33;139;unidade;9.63;58x57x10
278;SKU00278;Suspensão NGK Non;Suspensão;NGK;480.1;293.52;66;unidade;25.5;43x95x10
279;SKU00279;Transmissão Pirelli Rerum;Transmissão;Pirelli;2288.98;1416.23;111;unidade;16.76;22x54x16
280;SKU00280;Suspensão Kawasaki Aliquid;Suspensão;Kawasaki;842.4;399.06;120;unidade;25.43;16x73x47
281;SKU00281;Transmissão Kawasaki Nemo;Transmissão;Kawasaki;152.55;85.91;15;unidade;26.22;29x80x47
282;SKU00282;Acessórios Magneti Marelli Quae;Acessórios;Magneti Marelli;562.12;288.18;90;unidade;9.17;6x32x13
283;SKU00283;Acessórios Yamaha Itaque;Acessórios;Yamaha;1873.53;1267.07;67;unidade;20.9;95x31x26
284;SKU00284;Freios Magneti Marelli Ad;Freios;Magneti Marelli;821.0;439.17;124;unidade;16.06;50x44x17
285;SKU00285;Suspensão Magneti Marelli Facere;Suspensão;Magneti Marelli;2209.96;1303.44;125;unidade;22.87;45x31x24
286;SKU00286;Suspensão NGK Occaecati;Suspensão;NGK;138.15;97.98;42;unidade;0.58;75x79x38
287;SKU00287;Acessórios NGK Animi;Acessórios;NGK;755.6;384.49;63;unidade;11.46;36x68x36
288;SKU00288;Acessórios Bosch Adipisci;Acessórios;Bosch;661.88;460.98;130;unidade;13.88;98x50x11
289;SKU00289;Freios Magneti Marelli Ab;Freios;Magneti Marelli;1233.58;894.43;143;unidade;29.71;12x72x3
290;SKU00290;Transmissão Yamaha Ipsa;Transmissão;Yamaha;2364.34;1537.92;6;unidade;12.43;85x34x5
291;SKU00291;Acessórios Suzuki Sit;Acessórios;Suzuki;47.63;28.66;100;unidade;1.91;86x90x40
292;SKU00292;Elétrica Pirelli Deserunt;Elétrica;Pirelli;63.94;38.98;110;unidade;0.45;72x97x18
293;SKU00293;Pneus Shineray Ex;Pneus;Shineray;67.43;46.79;115;unidade;24.2;27x18x7
294;SKU00294;Pneus Suzuki Illum;Pneus;Suzuki;621.4;395.17;69;unidade;24.47;39x55x6
295;SKU00295;Suspensão NGK Accusamus;Suspensão;NGK;1161.02;607.17;62;unidade;9.07;15x88x42
296;SKU00296;Transmissão Honda Fugiat;Transmissão;Honda;256.41;144.56;146;unidade;14.33;86x6x45
297;SKU00297;Freios Yamaha Omnis;Freios;Yamaha;1262.15;732.27;89;unidade;17.02;17x72x3
298;SKU00298;Freios Kawasaki Accusantium;Freios;Kawasaki;2255.65;1483.51;150;unidade;14.32;10x14x44
299;SKU00299;Suspensão Magneti Marelli Et;Suspensão;Magneti Marelli;1419.69;652.87;85;unidade;0.57;31x80x10
300;SKU00300;Transmissão NGK Fugiat;Transmissão;NGK;2323.97;1254.44;149;unidade;7.29;54x91x35
